id,name,age,profession,city,image,timestamp,password,home_town,gender,dob,education,mother_tongue,marital_status,phone_number,email,religion,salary,height,zodiac_sign,father_occupation,mother_occupation,bio
11,Harpreet Singh,34,Lawyer,Amritsar,https://images.pexels.com/photos/9293177/pexels-photo-9293177.jpeg?auto=compress&cs=tinysrgb&w=600,2025-05-16 10:10:00,harpreet@law,Amritsar,Male,1992-11-11,LLB,Punjabi,Never Married,9872000000,harpreet.singh@email.com,Sikh,20 LPA,169 cm,Scorpio,Advocate,School Principal,Practicing lawyer. Enjoys reading and community service.
12,Rohan Desai,24,Businessman,Mumbai,https://images.pexels.com/photos/8042420/pexels-photo-8042420.jpeg?auto=compress&cs=tinysrgb&w=600,2025-05-16 10:11:00,rohan@biz,Mumbai,Male,1996-05-30,MBA,Gujarati,Never Married,9820000000,rohan.desai@email.com,Hindu,30 LPA,170 cm,Gemini,Businessman,Homemaker,Entrepreneur and traveler. Loves networking and new ideas.
13,Ankit Agarwal,25,Chartered Accountant,Kolkata,https://images.pexels.com/photos/18500605/pexels-photo-18500605/free-photo-of-african-man-wearing-shirt.jpeg?auto=compress&cs=tinysrgb&w=600,2025-05-16 10:12:00,ankit@ca,Kolkata,Male,1998-03-18,CA,Hindi,Never Married,9831000000,ankit.agarwal@email.com,Jain,17 LPA,171 cm,Pisces,Accountant,Homemaker,Finance expert. Enjoys chess and reading.
14,Peter D'Souza,26,Professor,Goa,https://images.pexels.com/photos/7261970/pexels-photo-7261970.jpeg?auto=compress&cs=tinysrgb&w=600,2025-05-16 10:13:00,peter@prof,Goa,Male,1995-12-25,PhD,Konkani,Never Married,9823000000,peter.dsouza@email.com,Christian,12 LPA,172 cm,Capricorn,Retired Teacher,Nurse,Academic and researcher. Loves the beach and music.
15,Saurabh Verma,27,Banker,Lucknow,https://images.pexels.com/photos/18796646/pexels-photo-18796646/free-photo-of-man-sitting-on-royal-enfield-motorbike.jpeg?auto=compress&cs=tinysrgb&w=600,2025-05-16 10:14:00,saurabh@bank,Lucknow,Male,1997-10-10,MBA,Hindi,Never Married,9918000000,saurabh.verma@email.com,Hindu,13 LPA,173 cm,Libra,Bank Manager,Homemaker,Banking professional. Enjoys badminton and music.
16,Imran Khan,28,Civil Engineer,Bhopal,https://images.pexels.com/photos/21575776/pexels-photo-21575776/free-photo-of-a-man-posing-in-an-abandoned-building.jpeg?auto=compress&cs=tinysrgb&w=600,2025-05-16 10:15:00,imran@engg,Bhopal,Male,1994-09-09,M.Tech,Urdu,Never Married,9009009009,imran.khan@email.com,Muslim,16 LPA,174 cm,Virgo,Contractor,Homemaker,Civil engineer. Loves cricket and traveling.
17,Rakesh Patil,29,Doctor,Pune,https://images.pexels.com/photos/14183131/pexels-photo-14183131.jpeg?auto=compress&cs=tinysrgb&w=600,2025-05-16 10:16:00,rakesh@doc,Pune,Male,1996-06-06,MBBS,Marathi,Never Married,9898989898,rakesh.patil@email.com,Hindu,18 LPA,159 cm,Gemini,Doctor,Teacher,Medical professional. Enjoys trekking and music.
18,Benjamin Paul,30,Software Engineer,Delhi,https://images.pexels.com/photos/12894707/pexels-photo-12894707.jpeg?auto=compress&cs=tinysrgb&w=600,2025-05-16 10:17:00,ben@soft,Delhi,Male,1993-08-08,B.Tech,English,Never Married,9811111111,benjamin.paul@email.com,Christian,24 LPA,160 cm,Leo,Engineer,Nurse,Software developer. Loves coding and playing guitar.
19,Manish Gupta,31,Businessman,Kanpur,https://images.pexels.com/photos/11016097/pexels-photo-11016097.jpeg?auto=compress&cs=tinysrgb&w=600,2025-05-16 10:18:00,manish@biz,Kanpur,Male,1995-12-12,MBA,Hindi,Never Married,9839000000,manish.gupta@email.com,Hindu,28 LPA,161 cm,Sagittarius,Businessman,Homemaker,Entrepreneur. Enjoys traveling and networking.
20,Sandeep Singh,32,Teacher,Chandigarh,https://images.pexels.com/photos/3215733/pexels-photo-3215733.jpeg?auto=compress&cs=tinysrgb&w=600,2025-05-16 10:19:00,sandeep@teach,Chandigarh,Male,1994-04-04,MA,Punjabi,Never Married,9876000001,sandeep.singh@email.com,Sikh,12 LPA,162 cm,Aries,Teacher,Homemaker,Passionate about teaching and literature.
21,Francis Xavier,33,Banker,Mumbai,https://images.pexels.com/photos/2781140/pexels-photo-2781140.jpeg?auto=compress&cs=tinysrgb&w=600,2025-05-16 10:20:00,francis@bank,Mumbai,Male,1996-01-01,MBA,English,Never Married,9822000000,francis.xavier@email.com,Christian,15 LPA,163 cm,Capricorn,Bank Manager,Teacher,Banking professional. Enjoys sports and music.
22,Naveen Kumar,34,Software Engineer,Bangalore,https://images.pexels.com/photos/3649765/pexels-photo-3649765.jpeg?auto=compress&cs=tinysrgb&w=600,2025-05-16 10:21:00,naveen@soft,Bangalore,Male,1997-03-03,B.Tech,Kannada,Never Married,9845000000,naveen.kumar@email.com,Hindu,20 LPA,164 cm,Pisces,Engineer,Homemaker,Software developer. Loves trekking and photography.
23,Aditya Joshi,24,Doctor,Nagpur,https://images.pexels.com/photos/10606582/pexels-photo-10606582.jpeg?auto=compress&cs=tinysrgb&w=600,2025-05-16 10:22:00,aditya@doc,Nagpur,Male,1996-07-07,MBBS,Marathi,Never Married,9823000001,aditya.joshi@email.com,Hindu,19 LPA,165 cm,Cancer,Doctor,Teacher,Medical professional. Enjoys reading and music.
24,Abdul Rahman,25,Businessman,Delhi,https://images.pexels.com/photos/5125723/pexels-photo-5125723.jpeg?auto=compress&cs=tinysrgb&w=600,2025-05-16 10:23:00,abdul@biz,Delhi,Male,1993-05-05,MBA,Urdu,Never Married,9812000000,abdul.rahman@email.com,Muslim,26 LPA,166 cm,Taurus,Businessman,Homemaker,Entrepreneur. Enjoys traveling and reading.
25,Rajat Kapoor,26,Lawyer,Delhi,https://images.pexels.com/photos/20227802/pexels-photo-20227802/free-photo-of-young-man-in-a-black-shirt-and-gray-pants-posing-in-the-ruins.jpeg?auto=compress&cs=tinysrgb&w=600,2025-05-16 10:24:00,rajat@law,Delhi,Male,1995-09-09,LLB,Hindi,Never Married,9813000000,rajat.kapoor@email.com,Hindu,17 LPA,167 cm,Virgo,Judge,Teacher,Practicing lawyer. Enjoys reading and debates.
26,Kevin Fernandes,27,Professor,Goa,https://images.pexels.com/photos/6911142/pexels-photo-6911142.jpeg?auto=compress&cs=tinysrgb&w=600,2025-05-16 10:25:00,kevin@prof,Goa,Male,1994-12-12,PhD,Konkani,Never Married,9824000000,kevin.fernandes@email.com,Christian,13 LPA,168 cm,Sagittarius,Retired Professor,Nurse,Academic and researcher. Loves music and the beach.
27,Prashant Mishra,28,Banker,Patna,https://images.pexels.com/photos/12829970/pexels-photo-12829970.png?auto=compress&cs=tinysrgb&w=600,2025-05-16 10:26:00,prashant@bank,Patna,Male,1997-11-11,MBA,Hindi,Never Married,9939000000,prashant.mishra@email.com,Hindu,14 LPA,169 cm,Scorpio,Bank Manager,Homemaker,Banking professional. Enjoys music and cricket.
28,Ajay Nair,29,Software Engineer,Thiruvananthapuram,https://images.pexels.com/photos/9712822/pexels-photo-9712822.jpeg?auto=compress&cs=tinysrgb&w=600,2025-05-16 10:27:00,ajay@soft,Thiruvananthapuram,Male,1996-02-02,B.Tech,Malayalam,Never Married,9847000001,ajay.nair@email.com,Hindu,21 LPA,170 cm,Aquarius,Engineer,Teacher,Software developer. Loves reading and traveling.
29,Sunil Chhetri,30,Sports Coach,Bangalore,https://images.pexels.com/photos/27969127/pexels-photo-27969127/free-photo-of-photoshoot-pose-for-man.jpeg?auto=compress&cs=tinysrgb&w=600,2025-05-16 10:28:00,sunil@sports,Bangalore,Male,1995-08-08,M.P.Ed,Nepali,Never Married,9845000001,sunil.chhetri@email.com,Hindu,15 LPA,171 cm,Leo,Army Officer,Teacher,Sports coach and football enthusiast.
30,David George,31,Doctor,Kolkata,https://images.pexels.com/photos/24423724/pexels-photo-24423724/free-photo-of-fashion.jpeg?auto=compress&cs=tinysrgb&w=600,2025-05-16 10:29:00,david@doc,Kolkata,Male,1994-03-03,MBBS,English,Never Married,9831000001,david.george@email.com,Christian,20 LPA,172 cm,Pisces,Doctor,Nurse,Medical professional. Loves music and reading.
